Timestamp,Source_IP,Destination_Port,Request_Type,Protocol,Payload_Size,User_Agent,Status,Intrusion,Scan_Type
01-06-2025 00:11,192.168.198.203,39.63.105.165:110,SMTP,TCP,2419,python-requests/2.25,Success,1,PortScan
01-06-2025 00:12,192.168.11.230,102.112.30.106:40747,DNS,ICMP,2924,Mozilla/5.0,Failure,1,BotAttack
01-06-2025 00:13,192.168.59.237,192.168.207.159:110,FTP,UDP,1170,curl/7.68.0,Success,1,SQLInjection
01-06-2025 00:15,192.168.112.76,159.89.211.238:21,SMTP,UDP,1021,Apache-HttpClient/4.5,Success,1,BruteForce
01-06-2025 00:21,192.168.112.65,24.5.167.38:445,FTP,ICMP,2093,Go-http-client/1.1,Success,1,BotAttack
01-06-2025 00:21,192.168.116.81,149.168.154.212:5432,HTTP,ICMP,2830,Java/11.0.10,Success,1,PortScan
01-06-2025 00:28,192.168.120.230,134.8.81.200:21,POP3,UDP,1867,PostmanRuntime/7.26,Failure,1,BruteForce
01-06-2025 00:28,192.168.238.165,44.164.129.108:22,SSH,ICMP,1616,Apache-HttpClient/4.5,Success,0,Normal
01-06-2025 00:35,192.168.72.219,192.168.242.220:24258,FTP,ICMP,1559,PostmanRuntime/7.26,Failure,1,SQLInjection
01-06-2025 00:38,192.168.70.84,27.150.171.95:3306,RDP,TCP,1082,Java/11.0.10,Failure,1,BotAttack
01-06-2025 00:48,192.168.186.80,192.168.246.235:23,SSH,ICMP,2457,Mozilla/5.0,Failure,1,BotAttack
01-06-2025 00:51,192.168.217.26,220.99.69.205:3306,HTTP,TCP,2360,PostmanRuntime/7.26,Success,1,SQLInjection
01-06-2025 01:03,192.168.4.235,192.168.128.252:443,DNS,ICMP,2561,Apache-HttpClient/4.5,Failure,1,XSS
01-06-2025 01:15,192.168.124.243,192.168.16.190:22,RDP,TCP,1007,Apache-HttpClient/4.5,Failure,1,BruteForce
01-06-2025 01:17,192.168.135.5,93.163.12.26:7137,RDP,ICMP,1574,python-requests/2.25,Failure,1,SQLInjection
01-06-2025 01:20,192.168.202.108,192.168.103.111:143,FTP,ICMP,2009,curl/7.68.0,Failure,1,BotAttack
01-06-2025 01:21,192.168.203.46,89.26.196.32:47526,POP3,TCP,2864,Apache-HttpClient/4.5,Failure,1,XSS
